"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
283918|292|2|22.12.2003 0:00:00|5.1.2004 0:00:00|698037,69 Kè|387798,73 Kè
283919|307|2|6.1.2004 0:00:00|14.1.2004 0:00:00|412995,84 Kè|229442,14 Kè
283920|266|2|15.1.2004 0:00:00|20.1.2004 0:00:00|275330,56 Kè|152961,43 Kè
283921|307|2|21.1.2004 0:00:00|4.2.2004 0:00:00|688326,41 Kè|382403,57 Kè
283922|269|2|5.2.2004 0:00:00|10.2.2004 0:00:00|275330,56 Kè|152961,43 Kè
283923|274|2|11.2.2004 0:00:00|25.2.2004 0:00:00|688326,41 Kè|382403,57 Kè
283924|253|2|26.2.2004 0:00:00|11.3.2004 0:00:00|688326,41 Kè|382403,57 Kè
283925|194|2|12.3.2004 0:00:00|21.3.2004 0:00:00|458884,27 Kè|254935,71 Kè
283926|253|2|22.3.2004 0:00:00|23.3.2004 0:00:00|91776,85 Kè|50987,14 Kè
283927|229|2|24.3.2004 0:00:00|28.3.2004 0:00:00|229442,14 Kè|127467,86 Kè
283928|269|2|29.3.2004 0:00:00|8.4.2004 0:00:00|504772,70 Kè|280429,28 Kè
283929|269|2|9.4.2004 0:00:00|16.4.2004 0:00:00|367107,42 Kè|203948,57 Kè
283930|178|2|27.4.2004 0:00:00|28.4.2004 0:00:00|91776,85 Kè|50987,14 Kè
283931|208|2|29.4.2004 0:00:00|2.5.2004 0:00:00|183553,71 Kè|101974,29 Kè
283932|279|2|3.5.2004 0:00:00|15.5.2004 0:00:00|596549,55 Kè|331416,43 Kè
283933|183|2|16.5.2004 0:00:00|20.5.2004 0:00:00|229442,14 Kè|127467,86 Kè
283934|253|2|21.5.2004 0:00:00|24.5.2004 0:00:00|183553,71 Kè|101974,29 Kè
283935|200|2|25.5.2004 0:00:00|5.6.2004 0:00:00|550661,13 Kè|305922,86 Kè
283936|292|2|6.6.2004 0:00:00|17.6.2004 0:00:00|550661,13 Kè|305922,86 Kè
283937|301|2|18.6.2004 0:00:00|2.7.2004 0:00:00|688326,41 Kè|382403,57 Kè
283938|229|2|3.7.2004 0:00:00|10.7.2004 0:00:00|367107,42 Kè|203948,57 Kè
283939|258|2|11.7.2004 0:00:00|17.7.2004 0:00:00|321218,99 Kè|178455,00 Kè
283940|292|2|18.7.2004 0:00:00|21.7.2004 0:00:00|183553,71 Kè|101974,29 Kè
