"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
293118|29|12|9.8.2007 0:00:00|21.8.2007 0:00:00|431365,55 Kè|258819,33 Kè
293119|11|12|22.8.2007 0:00:00|27.8.2007 0:00:00|199091,79 Kè|119455,08 Kè
293120|20|12|28.8.2007 0:00:00|3.9.2007 0:00:00|232273,76 Kè|139364,25 Kè
293121|37|12|4.9.2007 0:00:00|6.9.2007 0:00:00|99545,90 Kè|59727,54 Kè
293122|14|12|7.9.2007 0:00:00|20.9.2007 0:00:00|464547,51 Kè|278728,51 Kè
293123|14|12|21.9.2007 0:00:00|3.10.2007 0:00:00|431365,55 Kè|258819,33 Kè
293124|34|12|4.10.2007 0:00:00|17.10.2007 0:00:00|464547,51 Kè|278728,51 Kè
293125|17|12|29.10.2007 0:00:00|30.10.2007 0:00:00|66363,93 Kè|39818,36 Kè
293126|14|12|31.10.2007 0:00:00|14.11.2007 0:00:00|497729,48 Kè|298637,69 Kè
293127|20|12|15.11.2007 0:00:00|22.11.2007 0:00:00|265455,72 Kè|159273,43 Kè
293128|50|12|23.11.2007 0:00:00|3.12.2007 0:00:00|365001,62 Kè|219000,97 Kè
293129|64|12|4.12.2007 0:00:00|12.12.2007 0:00:00|298637,69 Kè|179182,61 Kè
293130|2|12|13.12.2007 0:00:00|14.12.2007 0:00:00|66363,93 Kè|39818,36 Kè
293131|61|12|15.12.2007 0:00:00|20.12.2007 0:00:00|199091,79 Kè|119455,08 Kè
293132|58|12|21.12.2007 0:00:00|4.1.2008 0:00:00|497729,48 Kè|298637,69 Kè
293133|64|12|20.1.2008 0:00:00|21.1.2008 0:00:00|75503,11 Kè|45301,87 Kè
293134|55|12|22.1.2008 0:00:00|29.1.2008 0:00:00|302012,44 Kè|181207,47 Kè
293135|55|12|30.1.2008 0:00:00|13.2.2008 0:00:00|566273,33 Kè|339764,00 Kè
293136|17|12|14.2.2008 0:00:00|27.2.2008 0:00:00|528521,77 Kè|317113,06 Kè
293137|45|12|28.2.2008 0:00:00|7.3.2008 0:00:00|339764,00 Kè|203858,40 Kè
293138|20|12|13.3.2008 0:00:00|14.3.2008 0:00:00|75503,11 Kè|45301,87 Kè
293139|37|12|15.3.2008 0:00:00|23.3.2008 0:00:00|339764,00 Kè|203858,40 Kè
293140|50|12|24.3.2008 0:00:00|6.4.2008 0:00:00|528521,77 Kè|317113,06 Kè
293141|14|12|7.4.2008 0:00:00|18.4.2008 0:00:00|453018,66 Kè|271811,20 Kè
293142|23|12|19.4.2008 0:00:00|30.4.2008 0:00:00|453018,66 Kè|271811,20 Kè
293143|64|12|1.5.2008 0:00:00|2.5.2008 0:00:00|75503,11 Kè|45301,87 Kè
293144|45|12|3.5.2008 0:00:00|14.5.2008 0:00:00|453018,66 Kè|271811,20 Kè
293145|11|12|15.5.2008 0:00:00|24.5.2008 0:00:00|377515,55 Kè|226509,33 Kè
293146|26|12|25.5.2008 0:00:00|1.6.2008 0:00:00|302012,44 Kè|181207,47 Kè
293147|2|12|2.6.2008 0:00:00|3.6.2008 0:00:00|75503,11 Kè|45301,87 Kè
293148|64|12|4.6.2008 0:00:00|11.6.2008 0:00:00|302012,44 Kè|181207,47 Kè
293149|26|12|12.6.2008 0:00:00|16.6.2008 0:00:00|188757,78 Kè|113254,67 Kè
293150|58|12|17.6.2008 0:00:00|22.6.2008 0:00:00|226509,33 Kè|135905,60 Kè
293151|11|12|23.6.2008 0:00:00|6.7.2008 0:00:00|528521,77 Kè|317113,06 Kè
293152|34|12|7.7.2008 0:00:00|18.7.2008 0:00:00|453018,66 Kè|271811,20 Kè
293153|17|12|19.7.2008 0:00:00|23.7.2008 0:00:00|188757,78 Kè|113254,67 Kè
293154|55|12|24.7.2008 0:00:00|1.8.2008 0:00:00|339764,00 Kè|203858,40 Kè
293155|34|12|2.8.2008 0:00:00|13.8.2008 0:00:00|453018,66 Kè|271811,20 Kè
293156|61|12|14.8.2008 0:00:00|18.8.2008 0:00:00|188757,78 Kè|113254,67 Kè
293157|61|12|19.8.2008 0:00:00|20.8.2008 0:00:00|75503,11 Kè|45301,87 Kè
293158|50|12|21.8.2008 0:00:00|24.8.2008 0:00:00|151006,22 Kè|90603,73 Kè
293159|58|12|25.8.2008 0:00:00|2.9.2008 0:00:00|339764,00 Kè|203858,40 Kè
293160|55|12|3.9.2008 0:00:00|8.9.2008 0:00:00|226509,33 Kè|135905,60 Kè
293161|2|12|9.9.2008 0:00:00|12.9.2008 0:00:00|151006,22 Kè|90603,73 Kè
293162|2|12|13.9.2008 0:00:00|21.9.2008 0:00:00|339764,00 Kè|203858,40 Kè
293163|11|12|22.9.2008 0:00:00|4.10.2008 0:00:00|490770,22 Kè|294462,13 Kè
293164|64|12|12.10.2008 0:00:00|26.10.2008 0:00:00|566273,33 Kè|339764,00 Kè
293165|37|12|27.10.2008 0:00:00|10.11.2008 0:00:00|566273,33 Kè|339764,00 Kè
293166|2|12|11.11.2008 0:00:00|14.11.2008 0:00:00|151006,22 Kè|90603,73 Kè
293167|50|12|15.11.2008 0:00:00|20.11.2008 0:00:00|226509,33 Kè|135905,60 Kè
293168|37|12|21.11.2008 0:00:00|26.11.2008 0:00:00|226509,33 Kè|135905,60 Kè
293169|23|12|6.12.2008 0:00:00|20.12.2008 0:00:00|566273,33 Kè|339764,00 Kè
293170|2|12|21.12.2008 0:00:00|1.1.2009 0:00:00|453018,66 Kè|271811,20 Kè
293171|11|12|2.1.2009 0:00:00|5.1.2009 0:00:00|166315,23 Kè|99789,14 Kè
293172|45|12|6.1.2009 0:00:00|8.1.2009 0:00:00|124736,42 Kè|74841,85 Kè
293173|61|12|9.1.2009 0:00:00|16.1.2009 0:00:00|332630,46 Kè|199578,27 Kè
293174|61|12|28.1.2009 0:00:00|7.2.2009 0:00:00|457366,88 Kè|274420,13 Kè
293175|58|12|8.2.2009 0:00:00|21.2.2009 0:00:00|582103,30 Kè|349261,98 Kè
