"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
292518|34|12|29.5.1990 0:00:00|30.5.1990 0:00:00|73831,19 Kè|44298,71 Kè
292519|64|12|31.5.1990 0:00:00|9.6.1990 0:00:00|369155,96 Kè|221493,57 Kè
292520|50|12|10.6.1990 0:00:00|17.6.1990 0:00:00|295324,76 Kè|177194,86 Kè
292521|55|12|26.6.1990 0:00:00|27.6.1990 0:00:00|73831,19 Kè|44298,71 Kè
292522|26|12|28.6.1990 0:00:00|11.7.1990 0:00:00|516818,34 Kè|310091,00 Kè
292523|1|12|12.7.1990 0:00:00|23.7.1990 0:00:00|442987,15 Kè|265792,29 Kè
292524|64|12|24.7.1990 0:00:00|31.7.1990 0:00:00|295324,76 Kè|177194,86 Kè
292525|14|12|1.8.1990 0:00:00|13.8.1990 0:00:00|479902,74 Kè|287941,64 Kè
292526|55|12|14.8.1990 0:00:00|24.8.1990 0:00:00|406071,55 Kè|243642,93 Kè
292527|34|12|25.8.1990 0:00:00|2.9.1990 0:00:00|332240,36 Kè|199344,22 Kè
292528|45|12|3.9.1990 0:00:00|17.9.1990 0:00:00|553733,93 Kè|332240,36 Kè
292529|64|12|18.9.1990 0:00:00|2.10.1990 0:00:00|553733,93 Kè|332240,36 Kè
292530|58|12|3.10.1990 0:00:00|8.10.1990 0:00:00|221493,57 Kè|132896,14 Kè
292531|55|12|12.10.1990 0:00:00|21.10.1990 0:00:00|369155,96 Kè|221493,57 Kè
292532|50|12|22.10.1990 0:00:00|3.11.1990 0:00:00|479902,74 Kè|287941,64 Kè
292533|26|12|4.11.1990 0:00:00|13.11.1990 0:00:00|369155,96 Kè|221493,57 Kè
292534|23|12|14.11.1990 0:00:00|20.11.1990 0:00:00|258409,17 Kè|155045,50 Kè
292535|67|12|2.1.1991 0:00:00|12.1.1991 0:00:00|414896,28 Kè|248937,77 Kè
292536|11|12|13.1.1991 0:00:00|19.1.1991 0:00:00|264024,91 Kè|158414,95 Kè
292537|29|12|1.2.1991 0:00:00|6.2.1991 0:00:00|226307,06 Kè|135784,24 Kè
292538|20|12|10.2.1991 0:00:00|18.2.1991 0:00:00|339460,60 Kè|203676,36 Kè
292539|23|12|23.2.1991 0:00:00|24.2.1991 0:00:00|75435,69 Kè|45261,41 Kè
292540|23|12|25.2.1991 0:00:00|7.3.1991 0:00:00|414896,28 Kè|248937,77 Kè
292541|50|12|8.3.1991 0:00:00|14.3.1991 0:00:00|264024,91 Kè|158414,95 Kè
292542|14|12|15.3.1991 0:00:00|23.3.1991 0:00:00|339460,60 Kè|203676,36 Kè
292543|50|12|24.3.1991 0:00:00|27.3.1991 0:00:00|150871,38 Kè|90522,83 Kè
292544|20|12|28.3.1991 0:00:00|2.4.1991 0:00:00|226307,06 Kè|135784,24 Kè
292545|17|12|3.4.1991 0:00:00|5.4.1991 0:00:00|113153,53 Kè|67892,12 Kè
292546|14|12|18.4.1991 0:00:00|2.5.1991 0:00:00|565767,66 Kè|339460,60 Kè
292547|64|12|3.5.1991 0:00:00|5.5.1991 0:00:00|113153,53 Kè|67892,12 Kè
292548|45|12|6.5.1991 0:00:00|7.5.1991 0:00:00|75435,69 Kè|45261,41 Kè
292549|37|12|8.5.1991 0:00:00|11.5.1991 0:00:00|150871,38 Kè|90522,83 Kè
292550|61|12|12.5.1991 0:00:00|13.5.1991 0:00:00|75435,69 Kè|45261,41 Kè
292551|67|12|14.5.1991 0:00:00|16.5.1991 0:00:00|113153,53 Kè|67892,12 Kè
