"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
289018|102|9|26.10.1997 0:00:00|2.11.1997 0:00:00|708744,42 Kè|486552,24 Kè
289019|70|9|3.11.1997 0:00:00|17.11.1997 0:00:00|1328895,79 Kè|912285,45 Kè
289020|136|9|18.11.1997 0:00:00|2.12.1997 0:00:00|1328895,79 Kè|912285,45 Kè
289021|165|9|5.12.1997 0:00:00|8.12.1997 0:00:00|354372,21 Kè|243276,12 Kè
289022|159|9|9.12.1997 0:00:00|21.12.1997 0:00:00|1151709,68 Kè|790647,39 Kè
289023|91|9|10.1.1998 0:00:00|16.1.1998 0:00:00|608843,92 Kè|417970,66 Kè
289024|165|9|17.1.1998 0:00:00|19.1.1998 0:00:00|260933,11 Kè|179130,28 Kè
289025|96|9|20.1.1998 0:00:00|30.1.1998 0:00:00|956754,73 Kè|656811,03 Kè
289026|99|9|31.1.1998 0:00:00|2.2.1998 0:00:00|260933,11 Kè|179130,28 Kè
289027|80|9|3.2.1998 0:00:00|9.2.1998 0:00:00|608843,92 Kè|417970,66 Kè
289028|80|9|10.2.1998 0:00:00|17.2.1998 0:00:00|695821,62 Kè|477680,75 Kè
289029|139|9|18.2.1998 0:00:00|19.2.1998 0:00:00|173955,40 Kè|119420,19 Kè
289030|170|9|20.2.1998 0:00:00|28.2.1998 0:00:00|782799,32 Kè|537390,85 Kè
289031|86|9|1.3.1998 0:00:00|15.3.1998 0:00:00|1304665,54 Kè|895651,41 Kè
289032|91|9|16.3.1998 0:00:00|25.3.1998 0:00:00|869777,02 Kè|597100,94 Kè
289033|136|9|5.4.1998 0:00:00|19.4.1998 0:00:00|1304665,54 Kè|895651,41 Kè
289034|80|9|5.5.1998 0:00:00|7.5.1998 0:00:00|260933,11 Kè|179130,28 Kè
289035|162|9|8.5.1998 0:00:00|13.5.1998 0:00:00|521866,21 Kè|358260,56 Kè
289036|144|9|14.5.1998 0:00:00|26.5.1998 0:00:00|1130710,13 Kè|776231,22 Kè
289037|126|9|6.6.1998 0:00:00|20.6.1998 0:00:00|1304665,54 Kè|895651,41 Kè
289038|105|9|21.6.1998 0:00:00|23.6.1998 0:00:00|260933,11 Kè|179130,28 Kè
289039|110|9|26.6.1998 0:00:00|2.7.1998 0:00:00|608843,92 Kè|417970,66 Kè
289040|110|9|3.7.1998 0:00:00|7.7.1998 0:00:00|434888,51 Kè|298550,47 Kè
289041|70|9|22.7.1998 0:00:00|2.8.1998 0:00:00|1043732,43 Kè|716521,13 Kè
289042|91|9|3.8.1998 0:00:00|16.8.1998 0:00:00|1217687,83 Kè|835941,31 Kè
289043|75|9|17.8.1998 0:00:00|23.8.1998 0:00:00|608843,92 Kè|417970,66 Kè
289044|154|9|24.8.1998 0:00:00|2.9.1998 0:00:00|869777,02 Kè|597100,94 Kè
289045|165|9|14.9.1998 0:00:00|24.9.1998 0:00:00|956754,73 Kè|656811,03 Kè
289046|170|9|25.9.1998 0:00:00|27.9.1998 0:00:00|260933,11 Kè|179130,28 Kè
289047|75|9|28.9.1998 0:00:00|1.10.1998 0:00:00|347910,81 Kè|238840,38 Kè
289048|102|9|2.10.1998 0:00:00|8.10.1998 0:00:00|608843,92 Kè|417970,66 Kè
289049|70|9|9.10.1998 0:00:00|23.10.1998 0:00:00|1304665,54 Kè|895651,41 Kè
289050|75|9|24.10.1998 0:00:00|1.11.1998 0:00:00|782799,32 Kè|537390,85 Kè
289051|126|9|2.11.1998 0:00:00|8.11.1998 0:00:00|608843,92 Kè|417970,66 Kè
289052|70|9|9.11.1998 0:00:00|16.11.1998 0:00:00|695821,62 Kè|477680,75 Kè
289053|99|9|17.11.1998 0:00:00|29.11.1998 0:00:00|1130710,13 Kè|776231,22 Kè
289054|96|9|7.12.1998 0:00:00|10.12.1998 0:00:00|347910,81 Kè|238840,38 Kè
289055|121|9|11.12.1998 0:00:00|15.12.1998 0:00:00|434888,51 Kè|298550,47 Kè
289056|116|9|23.12.1998 0:00:00|1.1.1999 0:00:00|869777,02 Kè|597100,94 Kè
289057|70|9|2.1.1999 0:00:00|5.1.1999 0:00:00|337976,69 Kè|232020,62 Kè
289058|121|9|6.1.1999 0:00:00|8.1.1999 0:00:00|253482,52 Kè|174015,46 Kè
289059|80|9|9.1.1999 0:00:00|15.1.1999 0:00:00|591459,21 Kè|406036,08 Kè
289060|96|9|16.1.1999 0:00:00|23.1.1999 0:00:00|675953,39 Kè|464041,23 Kè
289061|102|9|24.1.1999 0:00:00|2.2.1999 0:00:00|844941,73 Kè|580051,54 Kè
289062|170|9|3.2.1999 0:00:00|11.2.1999 0:00:00|760447,56 Kè|522046,39 Kè
289063|91|9|12.2.1999 0:00:00|26.2.1999 0:00:00|1267412,60 Kè|870077,31 Kè
289064|75|9|27.2.1999 0:00:00|11.3.1999 0:00:00|1098424,26 Kè|754067,00 Kè
289065|116|9|12.3.1999 0:00:00|22.3.1999 0:00:00|929435,91 Kè|638056,70 Kè
289066|80|9|23.3.1999 0:00:00|6.4.1999 0:00:00|1267412,60 Kè|870077,31 Kè
289067|110|9|7.4.1999 0:00:00|8.4.1999 0:00:00|168988,35 Kè|116010,31 Kè
289068|86|9|9.4.1999 0:00:00|10.4.1999 0:00:00|168988,35 Kè|116010,31 Kè
289069|70|9|11.4.1999 0:00:00|22.4.1999 0:00:00|1013930,08 Kè|696061,85 Kè
289070|144|9|23.4.1999 0:00:00|7.5.1999 0:00:00|1267412,60 Kè|870077,31 Kè
289071|105|9|8.5.1999 0:00:00|15.5.1999 0:00:00|675953,39 Kè|464041,23 Kè
289072|162|9|16.5.1999 0:00:00|25.5.1999 0:00:00|844941,73 Kè|580051,54 Kè
289073|105|9|26.5.1999 0:00:00|5.6.1999 0:00:00|929435,91 Kè|638056,70 Kè
