"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
293018|64|12|20.7.2004 0:00:00|28.7.2004 0:00:00|382403,57 Kè|229442,14 Kè
293019|23|12|20.8.2004 0:00:00|28.8.2004 0:00:00|382403,57 Kè|229442,14 Kè
293020|37|12|29.8.2004 0:00:00|7.9.2004 0:00:00|424892,86 Kè|254935,71 Kè
293021|29|12|8.9.2004 0:00:00|14.9.2004 0:00:00|297425,00 Kè|178455,00 Kè
293022|1|12|15.9.2004 0:00:00|27.9.2004 0:00:00|552360,71 Kè|331416,43 Kè
293023|2|12|9.10.2004 0:00:00|21.10.2004 0:00:00|552360,71 Kè|331416,43 Kè
293024|17|12|2.11.2004 0:00:00|16.11.2004 0:00:00|637339,28 Kè|382403,57 Kè
293025|55|12|17.11.2004 0:00:00|1.12.2004 0:00:00|637339,28 Kè|382403,57 Kè
293026|37|12|2.12.2004 0:00:00|7.12.2004 0:00:00|254935,71 Kè|152961,43 Kè
293027|23|12|12.12.2004 0:00:00|21.12.2004 0:00:00|424892,86 Kè|254935,71 Kè
293028|17|12|2.1.2005 0:00:00|13.1.2005 0:00:00|484944,43 Kè|290966,66 Kè
293029|67|12|14.1.2005 0:00:00|18.1.2005 0:00:00|202060,18 Kè|121236,11 Kè
293030|45|12|19.1.2005 0:00:00|24.1.2005 0:00:00|242472,21 Kè|145483,33 Kè
293031|67|12|25.1.2005 0:00:00|29.1.2005 0:00:00|202060,18 Kè|121236,11 Kè
293032|29|12|30.1.2005 0:00:00|3.2.2005 0:00:00|202060,18 Kè|121236,11 Kè
293033|1|12|4.2.2005 0:00:00|7.2.2005 0:00:00|161648,14 Kè|96988,89 Kè
293034|1|12|8.2.2005 0:00:00|16.2.2005 0:00:00|363708,32 Kè|218224,99 Kè
293035|61|12|17.2.2005 0:00:00|19.2.2005 0:00:00|121236,11 Kè|72741,66 Kè
293036|14|12|3.3.2005 0:00:00|6.3.2005 0:00:00|161648,14 Kè|96988,89 Kè
293037|61|12|3.4.2005 0:00:00|14.4.2005 0:00:00|484944,43 Kè|290966,66 Kè
293038|23|12|15.4.2005 0:00:00|26.4.2005 0:00:00|484944,43 Kè|290966,66 Kè
293039|11|12|9.5.2005 0:00:00|21.5.2005 0:00:00|525356,46 Kè|315213,88 Kè
293040|45|12|22.5.2005 0:00:00|5.6.2005 0:00:00|606180,53 Kè|363708,32 Kè
293041|64|12|6.6.2005 0:00:00|7.6.2005 0:00:00|80824,07 Kè|48494,44 Kè
293042|64|12|8.6.2005 0:00:00|19.6.2005 0:00:00|484944,43 Kè|290966,66 Kè
293043|37|12|20.6.2005 0:00:00|29.6.2005 0:00:00|404120,36 Kè|242472,21 Kè
293044|58|12|30.6.2005 0:00:00|7.7.2005 0:00:00|323296,28 Kè|193977,77 Kè
293045|37|12|10.7.2005 0:00:00|12.7.2005 0:00:00|121236,11 Kè|72741,66 Kè
293046|14|12|13.7.2005 0:00:00|20.7.2005 0:00:00|323296,28 Kè|193977,77 Kè
293047|14|12|21.7.2005 0:00:00|1.8.2005 0:00:00|484944,43 Kè|290966,66 Kè
293048|1|12|2.8.2005 0:00:00|15.8.2005 0:00:00|565768,50 Kè|339461,10 Kè
293049|20|12|16.8.2005 0:00:00|23.8.2005 0:00:00|323296,28 Kè|193977,77 Kè
293050|11|12|24.8.2005 0:00:00|7.9.2005 0:00:00|606180,53 Kè|363708,32 Kè
293051|1|12|8.9.2005 0:00:00|12.9.2005 0:00:00|202060,18 Kè|121236,11 Kè
293052|64|12|13.9.2005 0:00:00|27.9.2005 0:00:00|606180,53 Kè|363708,32 Kè
293053|2|12|28.9.2005 0:00:00|7.10.2005 0:00:00|404120,36 Kè|242472,21 Kè
293054|67|12|8.10.2005 0:00:00|15.10.2005 0:00:00|323296,28 Kè|193977,77 Kè
293055|34|12|24.10.2005 0:00:00|1.11.2005 0:00:00|363708,32 Kè|218224,99 Kè
293056|23|12|2.11.2005 0:00:00|13.11.2005 0:00:00|484944,43 Kè|290966,66 Kè
293057|17|12|14.11.2005 0:00:00|15.11.2005 0:00:00|80824,07 Kè|48494,44 Kè
293058|37|12|16.11.2005 0:00:00|21.11.2005 0:00:00|242472,21 Kè|145483,33 Kè
293059|2|12|22.11.2005 0:00:00|26.11.2005 0:00:00|202060,18 Kè|121236,11 Kè
293060|26|12|27.11.2005 0:00:00|1.12.2005 0:00:00|202060,18 Kè|121236,11 Kè
293061|11|12|2.12.2005 0:00:00|5.12.2005 0:00:00|161648,14 Kè|96988,89 Kè
293062|45|12|6.12.2005 0:00:00|12.12.2005 0:00:00|282884,25 Kè|169730,55 Kè
293063|61|12|13.12.2005 0:00:00|19.12.2005 0:00:00|282884,25 Kè|169730,55 Kè
293064|34|12|20.12.2005 0:00:00|26.12.2005 0:00:00|282884,25 Kè|169730,55 Kè
293065|23|12|27.12.2005 0:00:00|3.1.2006 0:00:00|323296,28 Kè|193977,77 Kè
293066|37|12|4.1.2006 0:00:00|7.1.2006 0:00:00|143371,95 Kè|86023,17 Kè
293067|29|12|14.1.2006 0:00:00|24.1.2006 0:00:00|394272,85 Kè|236563,71 Kè
293068|11|12|25.1.2006 0:00:00|28.1.2006 0:00:00|143371,95 Kè|86023,17 Kè
293069|23|12|29.1.2006 0:00:00|2.2.2006 0:00:00|179214,93 Kè|107528,96 Kè
293070|29|12|3.2.2006 0:00:00|13.2.2006 0:00:00|394272,85 Kè|236563,71 Kè
293071|1|12|19.2.2006 0:00:00|2.3.2006 0:00:00|430115,84 Kè|258069,50 Kè
293072|61|12|3.3.2006 0:00:00|11.3.2006 0:00:00|322586,88 Kè|193552,13 Kè
293073|64|12|12.3.2006 0:00:00|14.3.2006 0:00:00|107528,96 Kè|64517,38 Kè
293074|1|12|15.3.2006 0:00:00|26.3.2006 0:00:00|430115,84 Kè|258069,50 Kè
293075|34|12|21.4.2006 0:00:00|4.5.2006 0:00:00|501801,81 Kè|301081,09 Kè
293076|50|12|5.5.2006 0:00:00|18.5.2006 0:00:00|501801,81 Kè|301081,09 Kè
293077|37|12|19.5.2006 0:00:00|22.5.2006 0:00:00|143371,95 Kè|86023,17 Kè
293078|17|12|23.5.2006 0:00:00|3.6.2006 0:00:00|430115,84 Kè|258069,50 Kè
293079|34|12|4.6.2006 0:00:00|14.6.2006 0:00:00|394272,85 Kè|236563,71 Kè
293080|67|12|15.6.2006 0:00:00|29.6.2006 0:00:00|537644,80 Kè|322586,88 Kè
293081|26|12|30.6.2006 0:00:00|3.7.2006 0:00:00|143371,95 Kè|86023,17 Kè
293082|50|12|4.7.2006 0:00:00|10.7.2006 0:00:00|250900,90 Kè|150540,54 Kè
293083|1|12|11.7.2006 0:00:00|17.7.2006 0:00:00|250900,90 Kè|150540,54 Kè
293084|37|12|18.7.2006 0:00:00|31.7.2006 0:00:00|501801,81 Kè|301081,09 Kè
293085|2|12|1.8.2006 0:00:00|8.8.2006 0:00:00|286743,89 Kè|172046,33 Kè
293086|29|12|9.8.2006 0:00:00|13.8.2006 0:00:00|179214,93 Kè|107528,96 Kè
293087|45|12|14.8.2006 0:00:00|15.8.2006 0:00:00|71685,97 Kè|43011,58 Kè
