"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
289718|75|13|25.7.1996 0:00:00|2.8.1996 0:00:00|278397,51 Kè|244208,34 Kè
289719|105|13|3.8.1996 0:00:00|4.8.1996 0:00:00|61866,11 Kè|54268,52 Kè
289720|154|13|5.8.1996 0:00:00|6.8.1996 0:00:00|61866,11 Kè|54268,52 Kè
289721|139|13|7.8.1996 0:00:00|10.8.1996 0:00:00|123732,22 Kè|108537,04 Kè
289722|165|13|11.8.1996 0:00:00|15.8.1996 0:00:00|154665,28 Kè|135671,30 Kè
289723|154|13|16.8.1996 0:00:00|17.8.1996 0:00:00|61866,11 Kè|54268,52 Kè
289724|126|13|18.8.1996 0:00:00|22.8.1996 0:00:00|154665,28 Kè|135671,30 Kè
289725|113|13|23.8.1996 0:00:00|6.9.1996 0:00:00|463995,84 Kè|407013,90 Kè
289726|136|13|7.9.1996 0:00:00|8.9.1996 0:00:00|61866,11 Kè|54268,52 Kè
289727|75|13|9.9.1996 0:00:00|13.9.1996 0:00:00|154665,28 Kè|135671,30 Kè
289728|139|13|14.9.1996 0:00:00|19.9.1996 0:00:00|185598,34 Kè|162805,56 Kè
289729|99|13|20.9.1996 0:00:00|21.9.1996 0:00:00|61866,11 Kè|54268,52 Kè
289730|86|13|22.9.1996 0:00:00|30.9.1996 0:00:00|278397,51 Kè|244208,34 Kè
289731|170|13|1.10.1996 0:00:00|12.10.1996 0:00:00|371196,67 Kè|325611,12 Kè
289732|154|13|13.10.1996 0:00:00|18.10.1996 0:00:00|185598,34 Kè|162805,56 Kè
289733|83|13|19.10.1996 0:00:00|31.10.1996 0:00:00|402129,73 Kè|352745,38 Kè
289734|126|13|3.11.1996 0:00:00|15.11.1996 0:00:00|402129,73 Kè|352745,38 Kè
289735|83|13|16.11.1996 0:00:00|28.11.1996 0:00:00|402129,73 Kè|352745,38 Kè
289736|159|13|29.11.1996 0:00:00|9.12.1996 0:00:00|340263,62 Kè|298476,86 Kè
289737|75|13|10.12.1996 0:00:00|20.12.1996 0:00:00|340263,62 Kè|298476,86 Kè
289738|86|13|21.12.1996 0:00:00|22.12.1996 0:00:00|61866,11 Kè|54268,52 Kè
289739|154|13|23.12.1996 0:00:00|4.1.1997 0:00:00|402129,73 Kè|352745,38 Kè
289740|144|13|5.1.1997 0:00:00|17.1.1997 0:00:00|420624,41 Kè|368968,78 Kè
289741|162|13|18.1.1997 0:00:00|27.1.1997 0:00:00|323557,24 Kè|283822,14 Kè
289742|162|13|28.1.1997 0:00:00|10.2.1997 0:00:00|452980,13 Kè|397351,00 Kè
289743|162|13|20.2.1997 0:00:00|3.3.1997 0:00:00|388268,68 Kè|340586,57 Kè
289744|154|13|4.3.1997 0:00:00|15.3.1997 0:00:00|388268,68 Kè|340586,57 Kè
289745|86|13|16.3.1997 0:00:00|28.3.1997 0:00:00|420624,41 Kè|368968,78 Kè
289746|83|13|8.4.1997 0:00:00|21.4.1997 0:00:00|452980,13 Kè|397351,00 Kè
289747|159|13|22.4.1997 0:00:00|28.4.1997 0:00:00|226490,06 Kè|198675,50 Kè
289748|116|13|29.4.1997 0:00:00|5.5.1997 0:00:00|226490,06 Kè|198675,50 Kè
289749|80|13|6.5.1997 0:00:00|11.5.1997 0:00:00|194134,34 Kè|170293,28 Kè
289750|91|13|27.5.1997 0:00:00|3.6.1997 0:00:00|258845,79 Kè|227057,71 Kè
289751|86|13|14.6.1997 0:00:00|24.6.1997 0:00:00|355912,96 Kè|312204,35 Kè
289752|70|13|25.6.1997 0:00:00|1.7.1997 0:00:00|226490,06 Kè|198675,50 Kè
289753|91|13|2.7.1997 0:00:00|11.7.1997 0:00:00|323557,24 Kè|283822,14 Kè
289754|70|13|18.7.1997 0:00:00|27.7.1997 0:00:00|323557,24 Kè|283822,14 Kè
289755|121|13|12.8.1997 0:00:00|23.8.1997 0:00:00|388268,68 Kè|340586,57 Kè
289756|91|13|24.8.1997 0:00:00|26.8.1997 0:00:00|97067,17 Kè|85146,64 Kè
289757|136|13|27.8.1997 0:00:00|30.8.1997 0:00:00|129422,89 Kè|113528,86 Kè
289758|110|13|31.8.1997 0:00:00|7.9.1997 0:00:00|258845,79 Kè|227057,71 Kè
289759|96|13|8.9.1997 0:00:00|16.9.1997 0:00:00|291201,51 Kè|255439,93 Kè
289760|136|13|17.9.1997 0:00:00|20.9.1997 0:00:00|129422,89 Kè|113528,86 Kè
289761|102|13|21.9.1997 0:00:00|3.10.1997 0:00:00|420624,41 Kè|368968,78 Kè
289762|170|13|4.10.1997 0:00:00|17.10.1997 0:00:00|452980,13 Kè|397351,00 Kè
289763|149|13|18.10.1997 0:00:00|23.10.1997 0:00:00|194134,34 Kè|170293,28 Kè
289764|99|13|17.11.1997 0:00:00|25.11.1997 0:00:00|291201,51 Kè|255439,93 Kè
289765|139|13|6.12.1997 0:00:00|12.12.1997 0:00:00|226490,06 Kè|198675,50 Kè
289766|70|13|13.12.1997 0:00:00|24.12.1997 0:00:00|388268,68 Kè|340586,57 Kè
289767|139|13|25.12.1997 0:00:00|29.12.1997 0:00:00|161778,62 Kè|141911,07 Kè
289768|126|13|2.1.1998 0:00:00|8.1.1998 0:00:00|222360,39 Kè|195052,97 Kè
289769|96|13|9.1.1998 0:00:00|20.1.1998 0:00:00|381189,23 Kè|334376,53 Kè
289770|83|13|21.1.1998 0:00:00|3.2.1998 0:00:00|444720,77 Kè|390105,95 Kè
289771|96|13|8.2.1998 0:00:00|9.2.1998 0:00:00|63531,54 Kè|55729,42 Kè
289772|154|13|10.2.1998 0:00:00|20.2.1998 0:00:00|349423,47 Kè|306511,82 Kè
289773|154|13|24.2.1998 0:00:00|28.2.1998 0:00:00|158828,85 Kè|139323,55 Kè
289774|116|13|1.3.1998 0:00:00|15.3.1998 0:00:00|476486,54 Kè|417970,66 Kè
289775|110|13|16.3.1998 0:00:00|30.3.1998 0:00:00|476486,54 Kè|417970,66 Kè
289776|75|13|31.3.1998 0:00:00|13.4.1998 0:00:00|444720,77 Kè|390105,95 Kè
289777|162|13|14.4.1998 0:00:00|15.4.1998 0:00:00|63531,54 Kè|55729,42 Kè
289778|86|13|16.4.1998 0:00:00|27.4.1998 0:00:00|381189,23 Kè|334376,53 Kè
289779|154|13|28.4.1998 0:00:00|8.5.1998 0:00:00|349423,47 Kè|306511,82 Kè
289780|75|13|9.5.1998 0:00:00|14.5.1998 0:00:00|190594,62 Kè|167188,26 Kè
289781|110|13|15.5.1998 0:00:00|16.5.1998 0:00:00|63531,54 Kè|55729,42 Kè
289782|126|13|17.5.1998 0:00:00|20.5.1998 0:00:00|127063,08 Kè|111458,84 Kè
289783|102|13|21.5.1998 0:00:00|4.6.1998 0:00:00|476486,54 Kè|417970,66 Kè
289784|139|13|5.6.1998 0:00:00|8.6.1998 0:00:00|127063,08 Kè|111458,84 Kè
289785|99|13|9.6.1998 0:00:00|19.6.1998 0:00:00|349423,47 Kè|306511,82 Kè
289786|165|13|20.6.1998 0:00:00|3.7.1998 0:00:00|444720,77 Kè|390105,95 Kè
289787|159|13|4.7.1998 0:00:00|7.7.1998 0:00:00|127063,08 Kè|111458,84 Kè
289788|162|13|8.7.1998 0:00:00|22.7.1998 0:00:00|476486,54 Kè|417970,66 Kè
289789|139|13|26.7.1998 0:00:00|5.8.1998 0:00:00|349423,47 Kè|306511,82 Kè
289790|83|13|6.8.1998 0:00:00|17.8.1998 0:00:00|381189,23 Kè|334376,53 Kè
289791|159|13|18.8.1998 0:00:00|26.8.1998 0:00:00|285891,93 Kè|250782,39 Kè
289792|136|13|6.9.1998 0:00:00|7.9.1998 0:00:00|63531,54 Kè|55729,42 Kè
289793|116|13|14.9.1998 0:00:00|18.9.1998 0:00:00|158828,85 Kè|139323,55 Kè
289794|139|13|19.9.1998 0:00:00|22.9.1998 0:00:00|127063,08 Kè|111458,84 Kè
289795|165|13|23.9.1998 0:00:00|2.10.1998 0:00:00|317657,70 Kè|278647,10 Kè
289796|144|13|3.10.1998 0:00:00|12.10.1998 0:00:00|317657,70 Kè|278647,10 Kè
289797|83|13|13.10.1998 0:00:00|17.10.1998 0:00:00|158828,85 Kè|139323,55 Kè
289798|86|13|18.10.1998 0:00:00|24.10.1998 0:00:00|222360,39 Kè|195052,97 Kè
289799|110|13|25.10.1998 0:00:00|4.11.1998 0:00:00|349423,47 Kè|306511,82 Kè
289800|116|13|5.11.1998 0:00:00|16.11.1998 0:00:00|381189,23 Kè|334376,53 Kè
289801|162|13|17.11.1998 0:00:00|1.12.1998 0:00:00|476486,54 Kè|417970,66 Kè
289802|116|13|2.12.1998 0:00:00|11.12.1998 0:00:00|317657,70 Kè|278647,10 Kè
289803|105|13|12.12.1998 0:00:00|21.12.1998 0:00:00|317657,70 Kè|278647,10 Kè
289804|154|13|22.12.1998 0:00:00|1.1.1999 0:00:00|349423,47 Kè|306511,82 Kè
289805|170|13|4.1.1999 0:00:00|5.1.1999 0:00:00|61717,48 Kè|54138,14 Kè
289806|70|13|6.1.1999 0:00:00|20.1.1999 0:00:00|462881,12 Kè|406036,08 Kè
