"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
289318|91|9|17.9.2006 0:00:00|27.9.2006 0:00:00|861486,17 Kè|591409,28 Kè
289319|91|9|10.10.2006 0:00:00|16.10.2006 0:00:00|548218,47 Kè|376351,36 Kè
289320|91|9|17.10.2006 0:00:00|24.10.2006 0:00:00|626535,39 Kè|430115,84 Kè
289321|96|9|25.10.2006 0:00:00|3.11.2006 0:00:00|783169,24 Kè|537644,80 Kè
289322|86|9|4.11.2006 0:00:00|5.11.2006 0:00:00|156633,85 Kè|107528,96 Kè
289323|83|9|6.11.2006 0:00:00|13.11.2006 0:00:00|626535,39 Kè|430115,84 Kè
289324|154|9|14.11.2006 0:00:00|22.11.2006 0:00:00|704852,32 Kè|483880,32 Kè
289325|110|9|23.11.2006 0:00:00|27.11.2006 0:00:00|391584,62 Kè|268822,40 Kè
289326|99|9|28.11.2006 0:00:00|2.12.2006 0:00:00|391584,62 Kè|268822,40 Kè
289327|102|9|3.12.2006 0:00:00|8.12.2006 0:00:00|469901,55 Kè|322586,88 Kè
289328|110|9|9.12.2006 0:00:00|19.12.2006 0:00:00|861486,17 Kè|591409,28 Kè
289329|102|9|20.12.2006 0:00:00|29.12.2006 0:00:00|783169,24 Kè|537644,80 Kè
289330|102|9|5.1.2007 0:00:00|13.1.2007 0:00:00|652523,34 Kè|447956,53 Kè
289331|83|9|14.1.2007 0:00:00|24.1.2007 0:00:00|797528,53 Kè|547502,43 Kè
289332|165|9|25.1.2007 0:00:00|31.1.2007 0:00:00|507518,15 Kè|348410,64 Kè
289333|136|9|1.2.2007 0:00:00|11.2.2007 0:00:00|797528,53 Kè|547502,43 Kè
289334|110|9|12.2.2007 0:00:00|13.2.2007 0:00:00|145005,19 Kè|99545,90 Kè
289335|162|9|14.2.2007 0:00:00|19.2.2007 0:00:00|435015,56 Kè|298637,69 Kè
289336|105|9|20.2.2007 0:00:00|1.3.2007 0:00:00|725025,93 Kè|497729,48 Kè
289337|110|9|2.3.2007 0:00:00|15.3.2007 0:00:00|1015036,31 Kè|696821,27 Kè
289338|99|9|16.3.2007 0:00:00|30.3.2007 0:00:00|1087538,90 Kè|746594,22 Kè
289339|170|9|15.4.2007 0:00:00|24.4.2007 0:00:00|725025,93 Kè|497729,48 Kè
289340|70|9|25.4.2007 0:00:00|8.5.2007 0:00:00|1015036,31 Kè|696821,27 Kè
289341|170|9|9.5.2007 0:00:00|18.5.2007 0:00:00|725025,93 Kè|497729,48 Kè
289342|86|9|19.5.2007 0:00:00|20.5.2007 0:00:00|145005,19 Kè|99545,90 Kè
289343|136|9|21.5.2007 0:00:00|22.5.2007 0:00:00|145005,19 Kè|99545,90 Kè
289344|121|9|23.5.2007 0:00:00|3.6.2007 0:00:00|870031,12 Kè|597275,37 Kè
289345|110|9|4.6.2007 0:00:00|18.6.2007 0:00:00|1087538,90 Kè|746594,22 Kè
289346|75|9|29.6.2007 0:00:00|11.7.2007 0:00:00|942533,71 Kè|647048,32 Kè
289347|102|9|12.7.2007 0:00:00|13.7.2007 0:00:00|145005,19 Kè|99545,90 Kè
289348|165|9|23.7.2007 0:00:00|25.7.2007 0:00:00|217507,78 Kè|149318,84 Kè
289349|165|9|26.7.2007 0:00:00|30.7.2007 0:00:00|362512,97 Kè|248864,74 Kè
289350|86|9|21.8.2007 0:00:00|24.8.2007 0:00:00|290010,37 Kè|199091,79 Kè
289351|91|9|25.8.2007 0:00:00|30.8.2007 0:00:00|435015,56 Kè|298637,69 Kè
289352|144|9|14.9.2007 0:00:00|17.9.2007 0:00:00|290010,37 Kè|199091,79 Kè
289353|80|9|18.9.2007 0:00:00|26.9.2007 0:00:00|652523,34 Kè|447956,53 Kè
289354|121|9|27.9.2007 0:00:00|29.9.2007 0:00:00|217507,78 Kè|149318,84 Kè
289355|116|9|30.9.2007 0:00:00|13.10.2007 0:00:00|1015036,31 Kè|696821,27 Kè
289356|162|9|14.10.2007 0:00:00|16.10.2007 0:00:00|217507,78 Kè|149318,84 Kè
289357|91|9|20.10.2007 0:00:00|30.10.2007 0:00:00|797528,53 Kè|547502,43 Kè
289358|75|9|31.10.2007 0:00:00|3.11.2007 0:00:00|290010,37 Kè|199091,79 Kè
289359|75|9|4.11.2007 0:00:00|10.11.2007 0:00:00|507518,15 Kè|348410,64 Kè
289360|170|9|11.11.2007 0:00:00|13.11.2007 0:00:00|217507,78 Kè|149318,84 Kè
289361|75|9|14.11.2007 0:00:00|22.11.2007 0:00:00|652523,34 Kè|447956,53 Kè
289362|80|9|23.11.2007 0:00:00|29.11.2007 0:00:00|507518,15 Kè|348410,64 Kè
289363|162|9|30.11.2007 0:00:00|4.12.2007 0:00:00|362512,97 Kè|248864,74 Kè
289364|170|9|5.12.2007 0:00:00|11.12.2007 0:00:00|507518,15 Kè|348410,64 Kè
289365|116|9|12.12.2007 0:00:00|21.12.2007 0:00:00|725025,93 Kè|497729,48 Kè
289366|99|9|22.12.2007 0:00:00|25.12.2007 0:00:00|290010,37 Kè|199091,79 Kè
289367|110|9|26.12.2007 0:00:00|31.12.2007 0:00:00|435015,56 Kè|298637,69 Kè
289368|154|9|1.1.2008 0:00:00|5.1.2008 0:00:00|412435,74 Kè|283136,66 Kè
289369|154|9|21.1.2008 0:00:00|29.1.2008 0:00:00|742384,32 Kè|509646,00 Kè
289370|70|9|30.1.2008 0:00:00|1.2.2008 0:00:00|247461,44 Kè|169882,00 Kè
289371|102|9|2.2.2008 0:00:00|5.2.2008 0:00:00|329948,59 Kè|226509,33 Kè
289372|159|9|20.2.2008 0:00:00|2.3.2008 0:00:00|989845,77 Kè|679527,99 Kè
289373|96|9|3.3.2008 0:00:00|15.3.2008 0:00:00|1072332,91 Kè|736155,33 Kè
289374|162|9|16.3.2008 0:00:00|23.3.2008 0:00:00|659897,18 Kè|453018,66 Kè
289375|83|9|24.3.2008 0:00:00|29.3.2008 0:00:00|494922,88 Kè|339764,00 Kè
289376|154|9|30.3.2008 0:00:00|1.4.2008 0:00:00|247461,44 Kè|169882,00 Kè
289377|136|9|2.4.2008 0:00:00|13.4.2008 0:00:00|989845,77 Kè|679527,99 Kè
289378|80|9|14.4.2008 0:00:00|19.4.2008 0:00:00|494922,88 Kè|339764,00 Kè
289379|126|9|20.4.2008 0:00:00|23.4.2008 0:00:00|329948,59 Kè|226509,33 Kè
289380|105|9|6.5.2008 0:00:00|16.5.2008 0:00:00|907358,62 Kè|622900,66 Kè
289381|91|9|17.5.2008 0:00:00|20.5.2008 0:00:00|329948,59 Kè|226509,33 Kè
289382|105|9|21.5.2008 0:00:00|22.5.2008 0:00:00|164974,29 Kè|113254,67 Kè
289383|116|9|23.5.2008 0:00:00|27.5.2008 0:00:00|412435,74 Kè|283136,66 Kè
289384|102|9|28.5.2008 0:00:00|3.6.2008 0:00:00|577410,03 Kè|396391,33 Kè
289385|144|9|4.6.2008 0:00:00|6.6.2008 0:00:00|247461,44 Kè|169882,00 Kè
289386|126|9|7.6.2008 0:00:00|13.6.2008 0:00:00|577410,03 Kè|396391,33 Kè
289387|70|9|14.6.2008 0:00:00|15.6.2008 0:00:00|164974,29 Kè|113254,67 Kè
289388|144|9|16.6.2008 0:00:00|25.6.2008 0:00:00|824871,47 Kè|566273,33 Kè
289389|139|9|8.7.2008 0:00:00|15.7.2008 0:00:00|659897,18 Kè|453018,66 Kè
289390|86|9|16.7.2008 0:00:00|25.7.2008 0:00:00|824871,47 Kè|566273,33 Kè
289391|96|9|26.7.2008 0:00:00|5.8.2008 0:00:00|907358,62 Kè|622900,66 Kè
289392|159|9|6.8.2008 0:00:00|14.8.2008 0:00:00|742384,32 Kè|509646,00 Kè
289393|139|9|15.8.2008 0:00:00|17.8.2008 0:00:00|247461,44 Kè|169882,00 Kè
289394|83|9|18.8.2008 0:00:00|19.8.2008 0:00:00|164974,29 Kè|113254,67 Kè
