"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
282218|341|1|21.6.1998 0:00:00|25.6.1998 0:00:00|1691786,04 Kè|1194201,88 Kè
282219|322|1|26.6.1998 0:00:00|3.7.1998 0:00:00|2706857,67 Kè|1910723,00 Kè
282220|330|1|4.7.1998 0:00:00|16.7.1998 0:00:00|4398643,71 Kè|3104924,88 Kè
282221|317|1|17.7.1998 0:00:00|31.7.1998 0:00:00|5075358,12 Kè|3582605,63 Kè
282222|352|1|1.8.1998 0:00:00|13.8.1998 0:00:00|4398643,71 Kè|3104924,88 Kè
282223|312|1|14.8.1998 0:00:00|21.8.1998 0:00:00|2706857,67 Kè|1910723,00 Kè
282224|40|1|22.8.1998 0:00:00|1.9.1998 0:00:00|3721929,29 Kè|2627244,13 Kè
282225|312|1|2.9.1998 0:00:00|16.9.1998 0:00:00|5075358,12 Kè|3582605,63 Kè
282226|333|1|17.9.1998 0:00:00|1.10.1998 0:00:00|5075358,12 Kè|3582605,63 Kè
282227|355|1|29.10.1998 0:00:00|12.11.1998 0:00:00|5075358,12 Kè|3582605,63 Kè
282228|330|1|13.11.1998 0:00:00|22.11.1998 0:00:00|3383572,08 Kè|2388403,76 Kè
282229|341|1|23.11.1998 0:00:00|1.12.1998 0:00:00|3045214,87 Kè|2149563,38 Kè
282230|312|1|10.12.1998 0:00:00|18.12.1998 0:00:00|3045214,87 Kè|2149563,38 Kè
282231|40|1|19.12.1998 0:00:00|27.12.1998 0:00:00|3045214,87 Kè|2149563,38 Kè
282232|341|1|28.12.1998 0:00:00|5.1.1999 0:00:00|3045214,87 Kè|2149563,38 Kè
282233|317|1|6.1.1999 0:00:00|18.1.1999 0:00:00|4273046,48 Kè|3016268,02 Kè
282234|317|1|19.1.1999 0:00:00|25.1.1999 0:00:00|2300871,18 Kè|1624144,32 Kè
282235|250|1|26.1.1999 0:00:00|31.1.1999 0:00:00|1972175,30 Kè|1392123,70 Kè
282236|338|1|3.2.1999 0:00:00|6.2.1999 0:00:00|1314783,53 Kè|928082,47 Kè
282237|250|1|7.2.1999 0:00:00|15.2.1999 0:00:00|2958262,94 Kè|2088185,55 Kè
282238|312|1|16.2.1999 0:00:00|19.2.1999 0:00:00|1314783,53 Kè|928082,47 Kè
282239|330|1|20.2.1999 0:00:00|2.3.1999 0:00:00|3615654,71 Kè|2552226,78 Kè
282240|312|1|3.3.1999 0:00:00|17.3.1999 0:00:00|4930438,24 Kè|3480309,25 Kè
282241|317|1|18.3.1999 0:00:00|21.3.1999 0:00:00|1314783,53 Kè|928082,47 Kè
282242|349|1|22.3.1999 0:00:00|24.3.1999 0:00:00|986087,65 Kè|696061,85 Kè
282243|352|1|25.3.1999 0:00:00|4.4.1999 0:00:00|3615654,71 Kè|2552226,78 Kè
282244|250|1|19.4.1999 0:00:00|21.4.1999 0:00:00|986087,65 Kè|696061,85 Kè
282245|330|1|22.4.1999 0:00:00|24.4.1999 0:00:00|986087,65 Kè|696061,85 Kè
282246|250|1|25.4.1999 0:00:00|26.4.1999 0:00:00|657391,77 Kè|464041,23 Kè
282247|317|1|27.4.1999 0:00:00|10.5.1999 0:00:00|4601742,36 Kè|3248288,63 Kè
282248|250|1|19.5.1999 0:00:00|26.5.1999 0:00:00|2629567,06 Kè|1856164,93 Kè
282249|40|1|27.5.1999 0:00:00|29.5.1999 0:00:00|986087,65 Kè|696061,85 Kè
282250|352|1|30.5.1999 0:00:00|9.6.1999 0:00:00|3615654,71 Kè|2552226,78 Kè
282251|338|1|22.6.1999 0:00:00|26.6.1999 0:00:00|1643479,41 Kè|1160103,08 Kè
282252|250|1|27.6.1999 0:00:00|7.7.1999 0:00:00|3615654,71 Kè|2552226,78 Kè
282253|352|1|8.7.1999 0:00:00|12.7.1999 0:00:00|1643479,41 Kè|1160103,08 Kè
282254|344|1|13.7.1999 0:00:00|15.7.1999 0:00:00|986087,65 Kè|696061,85 Kè
