"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
294918|20|16|2.9.1992 0:00:00|6.9.1992 0:00:00|79023,12 Kè|39511,56 Kè
294919|61|16|7.9.1992 0:00:00|10.9.1992 0:00:00|63218,49 Kè|31609,25 Kè
294920|11|16|11.9.1992 0:00:00|14.9.1992 0:00:00|63218,49 Kè|31609,25 Kè
294921|17|16|15.9.1992 0:00:00|28.9.1992 0:00:00|221264,73 Kè|110632,36 Kè
294922|64|16|29.9.1992 0:00:00|13.10.1992 0:00:00|237069,35 Kè|118534,67 Kè
294923|17|16|14.10.1992 0:00:00|26.10.1992 0:00:00|205460,10 Kè|102730,05 Kè
294924|20|16|9.11.1992 0:00:00|19.11.1992 0:00:00|173850,86 Kè|86925,43 Kè
294925|14|16|20.11.1992 0:00:00|26.11.1992 0:00:00|110632,36 Kè|55316,18 Kè
294926|58|16|3.12.1992 0:00:00|11.12.1992 0:00:00|142241,61 Kè|71120,80 Kè
294927|64|16|12.12.1992 0:00:00|14.12.1992 0:00:00|47413,87 Kè|23706,93 Kè
294928|34|16|15.12.1992 0:00:00|17.12.1992 0:00:00|47413,87 Kè|23706,93 Kè
294929|37|16|18.12.1992 0:00:00|22.12.1992 0:00:00|79023,12 Kè|39511,56 Kè
294930|55|16|17.1.1993 0:00:00|31.1.1993 0:00:00|227419,16 Kè|113709,58 Kè
294931|67|16|3.2.1993 0:00:00|5.2.1993 0:00:00|45483,83 Kè|22741,92 Kè
294932|58|16|6.2.1993 0:00:00|12.2.1993 0:00:00|106128,94 Kè|53064,47 Kè
294933|61|16|13.2.1993 0:00:00|27.2.1993 0:00:00|227419,16 Kè|113709,58 Kè
294934|26|16|28.2.1993 0:00:00|1.3.1993 0:00:00|30322,55 Kè|15161,28 Kè
294935|11|16|7.3.1993 0:00:00|17.3.1993 0:00:00|166774,05 Kè|83387,02 Kè
294936|67|16|18.3.1993 0:00:00|23.3.1993 0:00:00|90967,66 Kè|45483,83 Kè
294937|29|16|24.3.1993 0:00:00|28.3.1993 0:00:00|75806,39 Kè|37903,19 Kè
294938|50|16|29.3.1993 0:00:00|31.3.1993 0:00:00|45483,83 Kè|22741,92 Kè
294939|14|16|10.4.1993 0:00:00|17.4.1993 0:00:00|121290,22 Kè|60645,11 Kè
294940|23|16|18.4.1993 0:00:00|28.4.1993 0:00:00|166774,05 Kè|83387,02 Kè
294941|61|16|29.4.1993 0:00:00|1.5.1993 0:00:00|45483,83 Kè|22741,92 Kè
294942|37|16|2.5.1993 0:00:00|14.5.1993 0:00:00|197096,60 Kè|98548,30 Kè
294943|2|16|18.5.1993 0:00:00|22.5.1993 0:00:00|75806,39 Kè|37903,19 Kè
294944|64|16|23.5.1993 0:00:00|24.5.1993 0:00:00|30322,55 Kè|15161,28 Kè
294945|61|16|25.5.1993 0:00:00|5.6.1993 0:00:00|181935,33 Kè|90967,66 Kè
294946|11|16|6.6.1993 0:00:00|8.6.1993 0:00:00|45483,83 Kè|22741,92 Kè
294947|23|16|9.6.1993 0:00:00|13.6.1993 0:00:00|75806,39 Kè|37903,19 Kè
294948|45|16|14.6.1993 0:00:00|19.6.1993 0:00:00|90967,66 Kè|45483,83 Kè
294949|61|16|20.6.1993 0:00:00|30.6.1993 0:00:00|166774,05 Kè|83387,02 Kè
294950|17|16|1.7.1993 0:00:00|15.7.1993 0:00:00|227419,16 Kè|113709,58 Kè
294951|67|16|26.7.1993 0:00:00|28.7.1993 0:00:00|45483,83 Kè|22741,92 Kè
294952|14|16|5.8.1993 0:00:00|6.8.1993 0:00:00|30322,55 Kè|15161,28 Kè
294953|55|16|22.8.1993 0:00:00|23.8.1993 0:00:00|30322,55 Kè|15161,28 Kè
294954|45|16|2.9.1993 0:00:00|14.9.1993 0:00:00|197096,60 Kè|98548,30 Kè
294955|20|16|15.9.1993 0:00:00|19.9.1993 0:00:00|75806,39 Kè|37903,19 Kè
294956|20|16|25.9.1993 0:00:00|29.9.1993 0:00:00|75806,39 Kè|37903,19 Kè
294957|26|16|14.10.1993 0:00:00|20.10.1993 0:00:00|106128,94 Kè|53064,47 Kè
294958|64|16|1.11.1993 0:00:00|15.11.1993 0:00:00|227419,16 Kè|113709,58 Kè
294959|14|16|3.12.1993 0:00:00|16.12.1993 0:00:00|212257,88 Kè|106128,94 Kè
294960|67|16|17.12.1993 0:00:00|25.12.1993 0:00:00|136451,50 Kè|68225,75 Kè
294961|26|16|26.12.1993 0:00:00|31.12.1993 0:00:00|90967,66 Kè|45483,83 Kè
294962|17|16|1.1.1994 0:00:00|11.1.1994 0:00:00|183583,80 Kè|91791,90 Kè
294963|14|16|12.1.1994 0:00:00|21.1.1994 0:00:00|166894,37 Kè|83447,18 Kè
294964|2|16|22.1.1994 0:00:00|1.2.1994 0:00:00|183583,80 Kè|91791,90 Kè
294965|37|16|2.2.1994 0:00:00|10.2.1994 0:00:00|150204,93 Kè|75102,47 Kè
294966|45|16|11.2.1994 0:00:00|20.2.1994 0:00:00|166894,37 Kè|83447,18 Kè
294967|29|16|13.3.1994 0:00:00|18.3.1994 0:00:00|100136,62 Kè|50068,31 Kè
294968|29|16|19.3.1994 0:00:00|22.3.1994 0:00:00|66757,75 Kè|33378,87 Kè
294969|50|16|23.3.1994 0:00:00|26.3.1994 0:00:00|66757,75 Kè|33378,87 Kè
294970|45|16|7.4.1994 0:00:00|11.4.1994 0:00:00|83447,18 Kè|41723,59 Kè
294971|11|16|12.4.1994 0:00:00|25.4.1994 0:00:00|233652,11 Kè|116826,06 Kè
294972|14|16|19.5.1994 0:00:00|21.5.1994 0:00:00|50068,31 Kè|25034,16 Kè
294973|11|16|22.5.1994 0:00:00|3.6.1994 0:00:00|216962,68 Kè|108481,34 Kè
294974|11|16|4.6.1994 0:00:00|9.6.1994 0:00:00|100136,62 Kè|50068,31 Kè
294975|23|16|25.6.1994 0:00:00|7.7.1994 0:00:00|216962,68 Kè|108481,34 Kè
294976|50|16|8.7.1994 0:00:00|22.7.1994 0:00:00|250341,55 Kè|125170,78 Kè
294977|1|16|23.7.1994 0:00:00|29.7.1994 0:00:00|116826,06 Kè|58413,03 Kè
294978|45|16|30.7.1994 0:00:00|5.8.1994 0:00:00|116826,06 Kè|58413,03 Kè
294979|37|16|6.8.1994 0:00:00|7.8.1994 0:00:00|33378,87 Kè|16689,44 Kè
294980|1|16|8.8.1994 0:00:00|17.8.1994 0:00:00|166894,37 Kè|83447,18 Kè
294981|61|16|18.8.1994 0:00:00|29.8.1994 0:00:00|200273,24 Kè|100136,62 Kè
294982|20|16|30.8.1994 0:00:00|8.9.1994 0:00:00|166894,37 Kè|83447,18 Kè
294983|34|16|9.9.1994 0:00:00|15.9.1994 0:00:00|116826,06 Kè|58413,03 Kè
294984|14|16|16.9.1994 0:00:00|25.9.1994 0:00:00|166894,37 Kè|83447,18 Kè
294985|58|16|26.9.1994 0:00:00|9.10.1994 0:00:00|233652,11 Kè|116826,06 Kè
294986|67|16|10.10.1994 0:00:00|16.10.1994 0:00:00|116826,06 Kè|58413,03 Kè
294987|2|16|17.10.1994 0:00:00|27.10.1994 0:00:00|183583,80 Kè|91791,90 Kè
294988|67|16|28.10.1994 0:00:00|29.10.1994 0:00:00|33378,87 Kè|16689,44 Kè
294989|23|16|30.10.1994 0:00:00|3.11.1994 0:00:00|83447,18 Kè|41723,59 Kè
294990|14|16|4.11.1994 0:00:00|14.11.1994 0:00:00|183583,80 Kè|91791,90 Kè
294991|61|16|15.11.1994 0:00:00|28.11.1994 0:00:00|233652,11 Kè|116826,06 Kè
294992|14|16|29.11.1994 0:00:00|6.12.1994 0:00:00|133515,49 Kè|66757,75 Kè
294993|45|16|7.12.1994 0:00:00|16.12.1994 0:00:00|166894,37 Kè|83447,18 Kè
294994|67|16|17.12.1994 0:00:00|28.12.1994 0:00:00|200273,24 Kè|100136,62 Kè
294995|17|16|29.12.1994 0:00:00|2.1.1995 0:00:00|83447,18 Kè|41723,59 Kè
294996|64|16|6.1.1995 0:00:00|10.1.1995 0:00:00|80960,33 Kè|40480,17 Kè
294997|55|16|11.1.1995 0:00:00|20.1.1995 0:00:00|161920,67 Kè|80960,33 Kè
294998|58|16|21.1.1995 0:00:00|27.1.1995 0:00:00|113344,47 Kè|56672,23 Kè
294999|29|16|12.2.1995 0:00:00|20.2.1995 0:00:00|145728,60 Kè|72864,30 Kè
295000|61|16|3.3.1995 0:00:00|10.3.1995 0:00:00|129536,54 Kè|64768,27 Kè
295001|58|16|23.3.1995 0:00:00|27.3.1995 0:00:00|80960,33 Kè|40480,17 Kè
295002|58|16|28.3.1995 0:00:00|1.4.1995 0:00:00|80960,33 Kè|40480,17 Kè
295003|37|16|2.4.1995 0:00:00|11.4.1995 0:00:00|161920,67 Kè|80960,33 Kè
295004|23|16|12.4.1995 0:00:00|16.4.1995 0:00:00|80960,33 Kè|40480,17 Kè
295005|14|16|17.4.1995 0:00:00|27.4.1995 0:00:00|178112,74 Kè|89056,37 Kè
295006|55|16|28.4.1995 0:00:00|4.5.1995 0:00:00|113344,47 Kè|56672,23 Kè
295007|23|16|5.5.1995 0:00:00|15.5.1995 0:00:00|178112,74 Kè|89056,37 Kè
295008|29|16|16.5.1995 0:00:00|20.5.1995 0:00:00|80960,33 Kè|40480,17 Kè
295009|26|16|21.5.1995 0:00:00|1.6.1995 0:00:00|194304,80 Kè|97152,40 Kè
